x,y,Hx,Hy,Hz,Ex,Ey,Ez
1,15,4.02817e-18,-4.24167e-18,1.29453e-22,5.10532e-18,4.85456e-18,-5.72156e-24
1,16,-1.33809e-18,-3.47161e-18,-1.06357e-20,4.18435e-18,-1.61647e-18,1.49955e-24
1,17,-2.90041e-18,3.69015e-19,-6.38975e-21,-4.46257e-19,-3.49597e-18,1.06783e-24
1,18,-1.32922e-19,3.64323e-19,-2.88082e-21,-4.40257e-19,-1.67464e-19,-1.35615e-24
1,19,-2.0674e-18,2.8056e-18,5.55055e-22,-3.37909e-18,-2.48473e-18,4.10795e-24
1,20,1.59969e-18,-3.16622e-18,2.46402e-21,3.81067e-18,1.92537e-18,-6.0063e-24
1,21,2.03776e-18,-6.12054e-18,-1.50563e-20,7.37643e-18,2.44431e-18,-3.54313e-24
1,22,3.42078e-18,3.84925e-19,7.79486e-21,-4.74293e-19,4.12487e-18,8.30626e-25
1,23,2.71011e-18,-1.70449e-18,-1.51512e-21,2.05636e-18,3.26432e-18,-7.66983e-25
1,24,2.79076e-18,-3.2688e-18,-7.25148e-21,3.93781e-18,3.36003e-18,-4.01792e-24
1,25,-3.71779e-18,2.76097e-18,-6.11287e-21,-3.32427e-18,-4.48011e-18,5.56128e-24
1,26,-6.82248e-19,2.24205e-18,-1.91262e-21,-2.70104e-18,-8.29653e-19,-1.79936e-24
1,27,-1.14002e-18,5.36361e-18,1.18678e-20,-6.46343e-18,-1.35973e-18,7.94607e-24
1,28,-2.51422e-18,-2.941e-18,-1.76298e-20,3.55454e-18,-3.03964e-18,-2.60339e-24
1,29,2.20152e-18,4.79967e-18,2.03343e-20,-5.79609e-18,2.66348e-18,1.43979e-24
1,30,-7.97218e-19,-4.9243e-18,-1.16085e-20,5.94325e-18,-9.72747e-19,-2.17555e-25
1,31,1.16457e-18,4.20414e-19,6.80304e-21,-5.14896e-19,1.41385e-18,3.22586e-24
1,32,-3.75796e-18,-5.93477e-19,-4.09646e-21,7.19646e-19,-4.53098e-18,2.82677e-24
1,33,2.07955e-18,1.84809e-18,8.53008e-21,-2.23081e-18,2.51338e-18,-2.77104e-24
1,34,3.65759e-20,1.03364e-19,4.14847e-21,-1.2234e-19,4.56757e-20,-3.35299e-25
1,35,-2.90208e-18,-3.77503e-20,2.04586e-21,4.64487e-20,-3.49067e-18,1.25779e-24
1,36,-4.57752e-18,4.26554e-18,-1.82761e-21,-5.13312e-18,-5.52261e-18,7.37666e-26
1,37,-4.57732e-18,2.81513e-18,8.21217e-21,-3.39371e-18,-5.50883e-18,5.7259e-24
1,38,-3.50345e-18,-4.60661e-18,-1.5974e-20,5.55711e-18,-4.23085e-18,-3.51991e-24
1,39,3.71033e-18,2.04324e-18,1.73435e-20,-2.47562e-18,4.47525e-18,-2.49193e-24
1,40,-9.74255e-20,-1.93773e-18,-8.32303e-21,2.34495e-18,-1.20305e-19,3.77343e-24
1,41,-1.02489e-18,3.22201e-18,8.5153e-21,-3.88677e-18,-1.23447e-18,6.56533e-25
1,42,-6.83473e-18,3.08296e-18,-1.04061e-21,-3.70678e-18,-8.23463e-18,5.55128e-24
1,43,-2.83263e-18,-5.1646e-18,-2.90016e-20,6.23062e-18,-3.42574e-18,-6.81281e-24
1,44,-1.99497e-18,1.0412e-17,1.6016e-20,-1.25557e-17,-2.39675e-18,4.60159e-24
1,45,-1.421e-18,1.58155e-18,2.41253e-21,-1.89742e-18,-1.71314e-18,-5.15303e-25
1,46,-6.17293e-19,-3.58618e-18,-1.69346e-20,4.32637e-18,-7.46528e-19,-2.0335e-24
1,47,2.25867e-18,8.13105e-18,2.52302e-20,-9.8085e-18,2.73135e-18,1.91224e-25
1,48,3.26087e-18,-4.61899e-18,-8.28472e-21,5.57646e-18,3.92098e-18,-4.61862e-24
1,49,5.34733e-18,-1.6533e-18,4.09938e-21,1.98437e-18,6.45009e-18,-4.35011e-25
1,50,-6.35171e-18,6.13435e-19,-1.81244e-20,-7.27857e-19,-7.66894e-18,6.29638e-24
1,51,5.43483e-18,3.20196e-18,1.57588e-20,-3.87079e-18,6.56497e-18,-3.02165e-24
1,52,-3.85737e-18,1.85404e-19,-2.12121e-20,-2.05542e-19,-4.66686e-18,2.11023e-24
1,53,3.77519e-18,5.06871e-18,2.09772e-20,-6.12199e-18,4.56171e-18,2.84606e-25
1,54,-7.51594e-18,-3.61243e-18,-2.33482e-20,4.3699e-18,-9.07061e-18,3.09178e-24
1,55,-2.91288e-18,1.05705e-18,1.05998e-20,-1.28871e-18,-3.49499e-18,1.61346e-24
1,56,1.49407e-18,-6.91642e-18,-1.95186e-20,8.34055e-18,1.77881e-18,-1.06062e-23
1,57,-2.53345e-18,7.75417e-18,3.1761e-20,-9.35916e-18,-3.02748e-18,1.1686e-23
1,58,-5.03166e-18,-7.50715e-18,-2.45837e-20,9.0642e-18,-6.07052e-18,-5.79389e-24
1,59,9.11571e-19,3.09954e-20,1.26603e-20,-5.50958e-20,1.10962e-18,-4.28411e-24
1,60,-1.43555e-18,-4.93005e-18,-2.30288e-20,5.95196e-18,-1.74937e-18,-3.16604e-24
1,61,2.50236e-18,3.89827e-18,8.56344e-21,-4.70792e-18,3.02119e-18,3.75203e-24
1,62,-2.20513e-18,-2.7014e-20,-1.00055e-20,4.13862e-20,-2.66382e-18,3.51814e-24
1,63,6.09326e-18,-2.97757e-19,-7.78776e-21,3.57388e-19,7.33677e-18,-3.47399e-24
1,64,1.54281e-18,1.04019e-18,-3.85243e-21,-1.25408e-18,1.85677e-18,3.52819e-24
1,65,-1.67811e-18,-1.00626e-19,-2.01782e-21,1.20261e-19,-2.02715e-18,5.84861e-25
1,66,2.02919e-18,1.30538e-18,-2.4426e-21,-1.57125e-18,2.44679e-18,1.19856e-24
1,67,-6.63851e-18,4.66021e-18,5.85376e-21,-5.61404e-18,-7.98751e-18,7.58497e-24
1,68,-3.97351e-18,1.62811e-18,-7.00521e-21,-1.95382e-18,-4.79338e-18,-3.13638e-24
1,69,4.96121e-18,4.70775e-18,1.05823e-20,-5.67571e-18,5.9879e-18,-1.50671e-24
1,70,-6.4711e-18,5.45362e-18,-1.35565e-20,-6.55369e-18,-7.80314e-18,5.96272e-24
1,71,3.42442e-18,3.85049e-18,6.97856e-21,-4.64512e-18,4.13353e-18,-3.98965e-24
1,72,6.10322e-19,-4.26817e-19,1.35636e-21,5.16497e-19,7.33445e-19,9.69185e-25
1,73,3.66242e-18,-1.87802e-18,1.80192e-20,2.25286e-18,4.42359e-18,-3.47894e-24
1,74,1.61824e-18,-2.85886e-18,-1.04914e-20,3.45518e-18,1.93937e-18,-1.23736e-24
1,75,-3.92086e-18,2.90141e-18,1.63339e-20,-3.5056e-18,-4.71866e-18,5.71361e-24
1,76,-6.43132e-18,-3.70431e-18,-6.36379e-21,4.47019e-18,-7.7479e-18,2.7702e-24
1,77,3.83902e-18,-9.14166e-19,1.24565e-20,1.09151e-18,4.64241e-18,-5.76915e-24
1,78,-1.64943e-18,-4.01692e-18,-2.93053e-20,4.85561e-18,-2.01359e-18,-3.48999e-24
1,79,4.27003e-18,4.7908e-18,2.05838e-20,-5.79111e-18,5.16386e-18,4.42301e-24
1,80,-8.24437e-19,-3.24435e-18,-2.92142e-20,3.92941e-18,-1.01688e-18,-2.4867e-24
1,81,6.29834e-18,1.12958e-17,2.85685e-20,-1.36257e-17,7.60681e-18,6.15693e-24
1,82,4.10638e-18,-5.23794e-18,-6.91842e-21,6.32252e-18,4.93323e-18,-4.79343e-24
1,83,-5.1253e-18,3.75353e-18,-4.50297e-22,-4.52168e-18,-6.17204e-18,8.85571e-24
1,84,-5.93356e-19,-1.40311e-18,1.40968e-21,1.68821e-18,-7.10355e-19,-5.03449e-24
1,85,-4.65737e-18,-2.48557e-18,-1.30775e-20,2.99911e-18,-5.61751e-18,-2.78213e-25
1,86,-1.94103e-18,1.30721e-18,8.94035e-21,-1.58417e-18,-2.32892e-18,-4.616e-25
1,87,-1.03254e-18,-2.93108e-18,4.78109e-21,3.53049e-18,-1.23984e-18,-3.25439e-24
1,88,-9.7887e-19,-3.95392e-18,-1.29572e-20,4.7683e-18,-1.19008e-18,-4.32886e-24
1,89,9.75718e-18,9.45263e-19,1.20269e-20,-1.14986e-18,1.17588e-17,-6.42676e-24
1,90,2.50875e-19,-5.03817e-19,-1.04911e-20,6.1726e-19,2.86203e-19,6.78467e-24
1,91,7.42351e-18,-5.86207e-20,2.59796e-20,5.31556e-20,8.9611e-18,4.41586e-25
